"id","name","address","lat","lng","club_name"
"1","Northfield Park","Northfield Park, Northfield, OH 44067, USA","41.3474","-81.5226","NORA - ASCC"
"5","Lorain Ford Plant","5401 Baumhart Rd, Lorain, OH 44053, USA","41.424","-82.2765","NORA - ASCC"
"6","Geauga Lake","7213 N Aurora Rd, Aurora, OH 44202, USA","41.3499","-81.3801","NORA - ASCC"
"7","Wild Water Kingdom","Seaworld Dr, Aurora, OH, USA","41.3461","-81.3683","NORA - ASCC"
"8","Freds House","1531 Hightower Dr, Uniontown, OH 44685, USA","40.9447","-81.4788","NORA - ASCC"
"9","Summit Motorsports Park","1300 State Highway 18, Norwalk, OH 44857, USA","41.2343","-82.5441","NORA - ASCC"
