"id","year","active","club_name","drop_lowest_events",
"1","2010","0","NORA - ASCC","2",
"4","2011","0","NORA - ASCC","2",
"5","2011","0","Buschur","0",
"6","2012","1","NORA - ASCC","2",
"7","2012","1","Buschur","0",
"8","2012","1","Orange Cone Racing","0",
